orin_disk_reads_6g-sandbox-prometheus-1,orin_disk_reads_benchpilot-sdk-benchpilot-1,orin_disk_reads_monitoring-stack-smart-plug-1,orin_disk_reads_powerstorm_marketing-campaign_0_client,orin_disk_reads_powerstorm_marketing-campaign_0_client,server_113_disk_reads_6g-sandbox-engine-worker-1,server_115_disk_reads_6g-sandbox-engine-worker-1,orin_memory_ubuntu,orin_memory_[none],orin_memory_[none],orin_memory_powerstorm_marketing-campaign_0_client,orin_memory_powerstorm_marketing-campaign_0_client,server_113_memory_ubuntu,server_113_memory_ubuntu,server_115_memory_ubuntu,server_115_memory_ubuntu,orin_network_sent_6g-sandbox-prometheus-1,orin_network_sent_benchpilot-sdk-benchpilot-1,orin_network_sent_monitoring-stack-smart-plug-1,orin_network_sent_powerstorm_marketing-campaign_0_client,orin_network_sent_powerstorm_marketing-campaign_0_client,server_113_network_sent_6g-sandbox-engine-worker-1,server_115_network_sent_6g-sandbox-engine-worker-1,orin_network_received_6g-sandbox-prometheus-1,orin_network_received_benchpilot-sdk-benchpilot-1,orin_network_received_monitoring-stack-smart-plug-1,orin_network_received_powerstorm_marketing-campaign_0_client,orin_network_received_powerstorm_marketing-campaign_0_client,server_113_network_received_6g-sandbox-engine-worker-1,server_115_network_received_6g-sandbox-engine-worker-1,orin_cpu_6g-sandbox-consul-1,orin_cpu_6g-sandbox-prometheus-1,orin_cpu_6g-sandbox-redis-1,orin_cpu_benchpilot-sdk-benchpilot-1,orin_cpu_monitoring-stack-smart-plug-1,orin_cpu_powerstorm_marketing-campaign_0_client,orin_cpu_powerstorm_marketing-campaign_0_client,orin_temp,orin_memory,server_113_memory,server_115_memory,orin_disk_writes,server_113_disk_writes,server_115_disk_writes,orin_disk_reads,server_113_disk_reads,server_115_disk_reads,orin_network_sent,server_113_network_sent,server_115_network_sent,orin_network_received,server_113_network_received,server_115_network_received,orin_power,orin_cpu,server_113_cpu,server_115_cpu
0,0,0,0,,0,0,213827600,78376960,927379440,168321000,,82551604,146780160,139940865,74970110,7620.9702,0,1235.08482,0,,47115.54876,62217.05952,213517.870262,0,717.80952,0,,47088.261334,62255.241095,0.6825987,9.4431437,0.9660498,0,0.7048996,1.0785717,,43.2523333333333,3078.4358,653.70622,524.3461,-107.99999,-51.047898,-217.408406,0,9.6000002,0,-44.364766,-211.221332,-200.3598688,1487.21476,14.9181608,8.1859418,9.949,27.9716198,41.0916637,52.5432659
0,0,0,0,,0,0,213827600,78376960,927379440,168321000,,82551604,146780160,139940865,74970110,7620.9702,0,1235.08482,0,,47115.54876,62217.05952,213517.870262,0,717.80952,0,,47088.261334,62255.241095,0.6825987,9.4431437,0.9660498,0,0.7048996,1.0785717,,43.2523333333333,3078.4358,653.70622,524.3461,-107.99999,-51.047898,-217.408406,0,9.6000002,0,-44.364766,-211.221332,-200.3598688,1487.21476,14.9181608,8.1859418,9.949,27.9716198,41.0916637,52.5432659
0,0,0,0,,0,0,213827600,78378598,927549840,168321000,,82551604,146780160,139940865,77940328,6260.31632,0,1631.15572,0,,47115.54876,57189.95832,232462.80718,0,1013.77772,0,,47088.261334,57235.89113,0.5752449,8.1321385,0.9734734,15.7658644,0.5943557,1.0785717,,43.2523333333333,3215.962,653.70622,572.2672,-166.9595346,-51.047898,-25.90263,0,9.6000002,0,-62.792066,-211.221332,-203.9135053,1495.33896,14.9181608,12.515481,9.8122,30.1623792,41.0916637,25.0816711
0,0,0,0,,0,0,213827600,78378598,927549840,168321000,,130120912,146780160,139940865,77940328,6260.31632,0,1631.15572,0,,25469.457556,57189.95832,232462.80718,0,1013.77772,0,,25356.61444,57235.89113,0.5752449,8.1321385,0.9734734,15.7658644,0.5943557,1.0785717,,43.2523333333333,3215.962,693.73282,572.2672,-166.9595346,-109.4001382,-25.90263,0,0,0,-62.792066,-198.7226556,-203.9135053,1495.33896,8.8354294,12.515481,9.8122,30.1623792,10.4127336,25.0816711
0,0,0,0,,0,0,213827600,78378598,927549840,168321000,,130120912,146780160,139940865,77940328,6260.31632,0,1631.15572,0,,25469.457556,57189.95832,232462.80718,0,1013.77772,0,,25356.61444,57235.89113,0.5752449,8.1321385,0.9734734,15.7658644,0.5943557,1.0785717,,43.2523333333333,3215.962,693.73282,572.2672,-166.9595346,-109.4001382,-25.90263,0,0,0,-62.792066,-198.7226556,-203.9135053,1495.33896,8.8354294,12.515481,9.8122,30.1623792,10.4127336,25.0816711
0,0,0,0,,0,0,213827600,78378598,927549840,168321000,,130120912,146780160,139940865,77940328,6260.31632,0,1631.15572,0,,25469.457556,57189.95832,232462.80718,0,1013.77772,0,,25356.61444,57235.89113,0.5752449,8.1321385,0.9734734,15.7658644,0.5943557,1.0785717,,43.2523333333333,3215.962,693.73282,572.2672,-166.9595346,-109.4001382,-25.90263,0,0,0,-62.792066,-198.7226556,-203.9135053,1495.33896,8.8354294,12.515481,9.8122,30.1623792,10.4127336,25.0816711
0,0,0,0,,0,0,213827600,78378598,927549840,168321000,,130120912,146780160,139940865,77940328,6260.31632,0,1631.15572,0,,25469.457556,57189.95832,232462.80718,0,1013.77772,0,,25356.61444,57235.89113,0.5752449,8.1321385,0.9734734,15.7658644,0.5943557,1.0785717,,43.126,3215.962,693.73282,572.2672,-166.9595346,-109.4001382,-25.90263,0,0,0,-62.792066,-198.7226556,-203.9135053,1495.33896,8.8354294,12.515481,9.8122,30.1623792,10.4127336,25.0816711
0,0,0,0,,0,0,213827600,78378598,927803000,168321000,122418516.666667,130120912,146780160,139940865,98888908,9587.390726,0,1464.99996,0,8523.5446,25469.457556,52792.60586,236652.056772,0,868.80002,0,2911.8608334,25356.61444,52766.49345,0.5494804,7.6523862,0.8606726,21.0449358,0.4455397,1.0785717,,43.126,3301.2188,693.73282,585.26484,-749.3432727,-109.4001382,-17.6,64.800002,0,0,-103.228012,-198.7226556,-202.2444122,20254.89716,8.8354294,10.4286988,9.778,32.581945,10.4127336,10.4503502
0,0,0,0,,0,0,213827600,78378598,927803000,168321000,122418516.666667,130529688,146780160,139940865,98888908,9587.390726,0,1464.99996,0,8523.5446,45745.678196,52792.60586,236652.056772,0,868.80002,0,2911.8608334,45593.9107,52766.49345,0.5494804,7.6523862,0.8606726,21.0449358,0.4455397,1.0785717,,43.126,3301.2188,698.5336,585.26484,-749.3432727,-28.8,-17.6,64.800002,0,0,-103.228012,-200.1377892,-202.2444122,20254.89716,10.6423978,10.4286988,9.778,32.581945,13.7671962,10.4503502
0,0,0,0,,0,0,213827600,78378598,927803000,168321000,122418516.666667,130529688,146780160,139940865,98888908,9587.390726,0,1464.99996,0,8523.5446,45745.678196,52792.60586,236652.056772,0,868.80002,0,2911.8608334,45593.9107,52766.49345,0.5494804,7.6523862,0.8606726,21.0449358,0.4455397,1.0785717,,43.126,3301.2188,698.5336,585.26484,-749.3432727,-28.8,-17.6,64.800002,0,0,-103.228012,-200.1377892,-202.2444122,20254.89716,10.6423978,10.4286988,9.778,32.581945,13.7671962,10.4503502
