orin_disk_reads_6g-sandbox-prometheus-1,orin_disk_reads_benchpilot-sdk-benchpilot-1,orin_disk_reads_monitoring-stack-smart-plug-1,orin_disk_reads_powerstorm_marketing-campaign_0_client,orin_disk_reads_powerstorm_marketing-campaign_0_client,server_115_disk_reads_6g-sandbox-engine-worker-1,orin_memory_ubuntu,orin_memory_[none],orin_memory_[none],orin_memory_powerstorm_marketing-campaign_0_client,orin_memory_powerstorm_marketing-campaign_0_client,server_115_memory_ubuntu,server_115_memory_ubuntu,orin_network_sent_6g-sandbox-prometheus-1,orin_network_sent_benchpilot-sdk-benchpilot-1,orin_network_sent_monitoring-stack-smart-plug-1,orin_network_sent_powerstorm_marketing-campaign_0_client,orin_network_sent_powerstorm_marketing-campaign_0_client,server_115_network_sent_6g-sandbox-engine-worker-1,orin_network_received_6g-sandbox-prometheus-1,orin_network_received_benchpilot-sdk-benchpilot-1,orin_network_received_monitoring-stack-smart-plug-1,orin_network_received_powerstorm_marketing-campaign_0_client,orin_network_received_powerstorm_marketing-campaign_0_client,server_115_network_received_6g-sandbox-engine-worker-1,orin_cpu_6g-sandbox-consul-1,orin_cpu_6g-sandbox-prometheus-1,orin_cpu_6g-sandbox-redis-1,orin_cpu_benchpilot-sdk-benchpilot-1,orin_cpu_monitoring-stack-smart-plug-1,orin_cpu_powerstorm_marketing-campaign_0_client,orin_cpu_powerstorm_marketing-campaign_0_client,orin_temp,orin_memory,server_115_memory,orin_disk_writes,server_115_disk_writes,orin_disk_reads,server_115_disk_reads,orin_network_sent,server_115_network_sent,orin_network_received,server_115_network_received,orin_power,orin_cpu,server_115_cpu
0,0,0,,0,0,231043100,78397440,1202829680,173465600,,142381060,99045378,3960.798234,2.5017604,1138.2001,,0,26318.152874,178819.762716,2.5030142,659.60002,,0,26012.21419,0.5698836,4.9255185,0.9299286,0,0.5612208,,0.8297153,42.9723333333333,5246.5968,607.50002,-302.522832,-653.3561,0,0,-18.0533206,-198.343708,603.09906,5.5587258,12.778,27.3159656,11.7650871
0,0,0,,0,0,231043100,78397440,1202829680,173465600,,142381060,99045378,3960.798234,2.5017604,1138.2001,,0,26318.152874,178819.762716,2.5030142,659.60002,,0,26012.21419,0.5698836,4.9255185,0.9299286,0,0.5612208,,0.8297153,42.9723333333333,5246.5968,607.50002,-302.522832,-653.3561,0,0,-18.0533206,-198.343708,603.09906,5.5587258,12.778,27.3159656,11.7650871
0,0,0,,0,0,231043100,78397440,1202829680,173465600,,142381060,99045378,3960.798234,2.5017604,1138.2001,,0,26318.152874,178819.762716,2.5030142,659.60002,,0,26012.21419,0.5698836,4.9255185,0.9299286,0,0.5612208,,0.8297153,42.9503333333333,5246.5968,607.50002,-302.522832,-653.3561,0,0,-18.0533206,-198.343708,603.09906,5.5587258,12.778,27.3159656,11.7650871
0,0,0,,0,0,239053240,78397440,1203067300,173465600,,142381060,103604224,4373.559586,9.272388,1542.79994,,0,30754.2132,144002.940452,9.270424,975.2,,0,30333.55652,0.6758169,4.6768484,1.1080344,16.786794,0.7453548,,0.8297153,42.9503333333333,5251.307,608.85154,-588.67524,-2.1236638,0,0,-42.5824574,-204.4603938,646.3045152,11.895516,10.215,27.3729779,14.2009797
0,0,0,,0,0,239053240,78397440,1203067300,173465600,,142381060,103604224,4373.559586,9.272388,1542.79994,,0,30754.2132,144002.940452,9.270424,975.2,,0,30333.55652,0.6758169,4.6768484,1.1080344,16.786794,0.7453548,,0.8297153,42.9503333333333,5251.307,608.85154,-588.67524,-2.1236638,0,0,-42.5824574,-204.4603938,646.3045152,11.895516,10.215,27.3729779,14.2009797
0,0,0,,0,0,239053240,78397440,1203067300,173465600,,142381060,103604224,4373.559586,9.272388,1542.79994,,0,30754.2132,144002.940452,9.270424,975.2,,0,30333.55652,0.6758169,4.6768484,1.1080344,16.786794,0.7453548,,0.8297153,42.9503333333333,5251.307,608.85154,-588.67524,-2.1236638,0,0,-42.5824574,-204.4603938,646.3045152,11.895516,10.215,27.3729779,14.2009797
0,0,0,,0,0,239053240,78397440,1203067300,173465600,,142381060,103604224,4373.559586,9.272388,1542.79994,,0,30754.2132,144002.940452,9.270424,975.2,,0,30333.55652,0.6758169,4.6768484,1.1080344,16.786794,0.7453548,,0.8297153,42.9503333333333,5251.307,608.85154,-588.67524,-2.1236638,0,0,-42.5824574,-204.4603938,646.3045152,11.895516,10.215,27.3729779,14.2009797
0,0,0,,0,0,239053240,78397440,1203067300,173465600,,142381060,103604224,4373.559586,9.272388,1542.79994,,0,30754.2132,144002.940452,9.270424,975.2,,0,30333.55652,0.6758169,4.6768484,1.1080344,16.786794,0.7453548,,0.8297153,42.9503333333333,5251.307,608.85154,-588.67524,-2.1236638,0,0,-42.5824574,-204.4603938,646.3045152,11.895516,10.215,27.3729779,14.2009797
0,0,0,,0,0,256616900,78397440,1203168080,173465600,94957567,142381060,108479282,4871.511248,231.325912,1454.20008,3861.2182,0,22860.99872,207644.950786,140.2037427,860.40002,1695812.4884825,0,22418.12386,0.5446586,3.9615574,0.7802996,3.3902862,0.47465,44.2018513,0.8297153,42.9503333333333,5348.2946,613.29922,-428.04893,-1.0763362,0,0,-74.03222,-201.7769046,20107.5956964,9.3428822,10.215,29.3611966,12.1150379
0,0,0,,0,0,256616900,78397440,1203168080,173465600,94957567,142381060,108479282,4871.511248,231.325912,1454.20008,3861.2182,0,22860.99872,207644.950786,140.2037427,860.40002,1695812.4884825,0,22418.12386,0.5446586,3.9615574,0.7802996,3.3902862,0.47465,44.2018513,0.8297153,42.9503333333333,5348.2946,613.29922,-428.04893,-1.0763362,0,0,-74.03222,-201.7769046,20107.5956964,9.3428822,10.215,29.3611966,12.1150379
