orin_disk_reads_6g-sandbox-prometheus-1,orin_disk_reads_benchpilot-sdk-benchpilot-1,orin_disk_reads_powerstorm_marketing-campaign_0_client,orin_disk_reads_powerstorm_marketing-campaign_0_client,raspberrypi4_disk_reads_monitoring-stack-smart-plug-1,orin_memory_[none],orin_memory_6g-sandbox-prometheus-1,orin_memory_powerstorm_marketing-campaign_0_client,orin_memory_powerstorm_marketing-campaign_0_client,raspberrypi4_memory_monitoring-stack-smart-plug-1,raspberrypi4_memory_ubuntu,raspberrypi4_memory_ubuntu,orin_network_sent_6g-sandbox-prometheus-1,orin_network_sent_benchpilot-sdk-benchpilot-1,orin_network_sent_powerstorm_marketing-campaign_0_client,orin_network_sent_powerstorm_marketing-campaign_0_client,raspberrypi4_network_sent_6g-sandbox-engine-worker-1,raspberrypi4_network_sent_monitoring-stack-smart-plug-1,orin_network_received_6g-sandbox-prometheus-1,orin_network_received_benchpilot-sdk-benchpilot-1,orin_network_received_powerstorm_marketing-campaign_0_client,orin_network_received_powerstorm_marketing-campaign_0_client,raspberrypi4_network_received_6g-sandbox-engine-worker-1,raspberrypi4_network_received_monitoring-stack-smart-plug-1,orin_cpu_6g-sandbox-consul-1,orin_cpu_6g-sandbox-kafka-1,orin_cpu_6g-sandbox-prometheus-1,orin_cpu_6g-sandbox-redis-1,orin_cpu_benchpilot-sdk-benchpilot-1,orin_cpu_powerstorm_marketing-campaign_0_client,orin_cpu_powerstorm_marketing-campaign_0_client,raspberrypi4_cpu_monitoring-stack-smart-plug-1,orin_temp,raspberrypi4_temp,orin_memory,raspberrypi4_memory,orin_disk_writes,raspberrypi4_disk_writes,orin_disk_reads,raspberrypi4_disk_reads,orin_network_sent,raspberrypi4_network_sent,orin_network_received,raspberrypi4_network_received,raspberrypi4_power,orin_cpu,raspberrypi4_cpu
0,0,,0,0,249496400,836457240,,3183362000,0,0,0,7826.64722,22.083116,,495237.9,58138.14036,1438.61854,150394.00578,43.622498,,213062.4,57301.25867,835.03776,0.4442774,1.5295608,4.4246833,0.5057926,0.0382793,,30.1899024,0.2972434,43.7796666666667,55.359,7993.7874,847.84374,-207.235976,-28.7267558,0,0,-50.94224,-230.729476,1065.813068,13.7529336,7.747,36.5428812,9.2700015
0,0,,0,0,249496400,836457240,,3183362000,0,0,0,7826.64722,22.083116,,495237.9,58138.14036,1438.61854,150394.00578,43.622498,,213062.4,57301.25867,835.03776,0.4442774,1.5295608,4.4246833,0.5057926,0.0382793,,30.1899024,0.2972434,43.7796666666667,55.359,7993.7874,847.84374,-207.235976,-28.7267558,0,0,-50.94224,-230.729476,1065.813068,13.7529336,7.747,36.5428812,9.2700015
0,0,,0,0,249496400,836457240,,3183362000,0,0,0,7826.64722,22.083116,,495237.9,58138.14036,1438.61854,150394.00578,43.622498,,213062.4,57301.25867,835.03776,0.4442774,1.5295608,4.4246833,0.5057926,0.0382793,,30.1899024,0.2972434,43.7796666666667,55.359,7993.7874,847.84374,-207.235976,-28.7267558,0,0,-50.94224,-230.729476,1065.813068,13.7529336,7.747,36.5428812,9.2700015
0,0,,0,0,249496400,836457240,,3183362000,0,0,0,7826.64722,22.083116,,495237.9,58138.14036,1438.61854,150394.00578,43.622498,,213062.4,57301.25867,835.03776,0.4442774,1.5295608,4.4246833,0.5057926,0.0382793,,30.1899024,0.2972434,43.7796666666667,55.359,7993.7874,847.84374,-207.235976,-28.7267558,0,0,-50.94224,-230.729476,1065.813068,13.7529336,7.747,36.5428812,9.2700015
0,0,,0,0,275800860,836676800,79282180,3183362000,0,0,0,10289.625042,0,0,495237.9,58138.14036,1438.61854,230822.4118206,0,82.65759,213062.4,57301.25867,835.03776,0.4933732,1.5295608,5.0904339,0.7064921,17.8935127,,30.1899024,0.2972434,43.7796666666667,55.359,8238.4094,847.84374,-598.065656,-28.7267558,0,0,-57.002426,-230.729476,1102.922592,13.7529336,7.747,32.2381712,9.2700015
0,0,,0,0,275800860,836676800,79282180,3183362000,0,0,0,10289.625042,0,0,495237.9,52392.4069,1241.00502,230822.4118206,0,82.65759,213062.4,51586.7769556,800.55088,0.4933732,1.5295608,5.0904339,0.7064921,17.8935127,,30.1899024,0.3159131,43.7796666666667,55.359,8238.4094,856.39688,-598.065656,-603.20008,0,0,-57.002426,-227.6375622,1102.922592,11.5750226,6.4138,32.2381712,9.2717082
0,0,,0,0,275800860,836676800,79282180,3183362000,0,0,0,10289.625042,0,0,495237.9,52392.4069,1241.00502,230822.4118206,0,82.65759,213062.4,51586.7769556,800.55088,0.4933732,1.5295608,5.0904339,0.7064921,17.8935127,,30.1899024,0.3159131,43.7796666666667,55.359,8238.4094,856.39688,-598.065656,-603.20008,0,0,-57.002426,-227.6375622,1102.922592,11.5750226,6.4138,32.2381712,9.2717082
0,0,,0,0,275800860,836676800,79282180,3183362000,0,0,0,10289.625042,0,0,495237.9,52392.4069,1241.00502,230822.4118206,0,82.65759,213062.4,51586.7769556,800.55088,0.4933732,1.5295608,5.0904339,0.7064921,17.8935127,,30.1899024,0.3159131,43.7356666666667,53.7245,8238.4094,856.39688,-598.065656,-603.20008,0,0,-57.002426,-227.6375622,1102.922592,11.5750226,6.4138,32.2381712,9.2717082
0,0,,0,0,275800860,836676800,79282180,3183362000,0,0,0,10289.625042,0,0,495237.9,52392.4069,1241.00502,230822.4118206,0,82.65759,213062.4,51586.7769556,800.55088,0.4933732,1.5295608,5.0904339,0.7064921,17.8935127,,30.1899024,0.3159131,43.7356666666667,53.7245,8238.4094,856.39688,-598.065656,-603.20008,0,0,-57.002426,-227.6375622,1102.922592,11.5750226,6.4138,32.2381712,9.2717082
0,0,0,0,0,272122660,836870160,165374360,3183362000,0,0,0,14308.575378,584.2,8812.72492,495237.9,52392.4069,1241.00502,3600604.77978,410.8,3314891.980262,213062.4,51586.7769556,800.55088,0.4739368,1.5295608,4.704743,0.6457135,1.2592309,82.7659067,30.1899024,0.3159131,43.7356666666667,53.7245,8422.0274,856.39688,-4522.999154,-603.20008,342.67512,0,-116.419012,-227.6375622,28494.50444,11.5750226,6.4138,44.4981,9.2717082
0,0,0,0,0,272122660,836870160,165374360,3183362000,0,0,0,14308.575378,584.2,8812.72492,495237.9,51992.4056,1673.06592,3600604.77978,410.8,3314891.980262,213062.4,51275.1771108,945.03134,0.4739368,1.5295608,4.704743,0.6457135,1.2592309,82.7659067,30.1899024,0.2875082,43.7356666666667,53.7245,8422.0274,859.9594,-4522.999154,-15.9999992,342.67512,0,-116.419012,-225.5729268,28494.50444,10.897044,5.525,44.4981,7.0046929
